Player,Runs Scored,Batting Strike Rate,Batting Average,No of Sixes,No of Fours,Balls Faced,Total career dot balls played,No of Centuries Scored,No of Half Centuries Scored,Wickets Taken,3 Wicket Hauls,5 Wicket Hauls,Bowling Strike Rate,Bowling Economy,Bowling Average,Runs Conceded,Sixes Conceded,Fours Conceded,Dot Balls Bowled,Maidens Bowled,Age of the Player,Last Auction Price Sold (in Crs),Category,Country,Role,Capped/Uncapped
Synthetic_Player_149,774.59,125.57,34.68,30,59,542,166,0,4,12,1,0,6.02,10.74,31.12,365,14,31,65,0,26,1.39,International,USA,Fast-All Rounder,Uncapped
Synthetic_Player_150,802.00,124.05,16.57,37,65,783,261,0,2,105,7,0,4.40,7.48,23.82,2618,108,156,712,3,29,3.06,International,Australia,Spin-All Rounder,Capped
Synthetic_Player_151,863.85,111.78,27.43,41,55,686,224,0,5,31,2,0,6.12,8.12,21.95,739,26,59,183,0,25,0.13,International,USA,Fast-All Rounder,Capped
Synthetic_Player_152,622.23,189.72,31.65,18,52,539,149,0,4,17,1,0,7.30,10.30,26.81,506,21,45,65,0,28,0.93,International,USA,Fast-All Rounder,Capped
Synthetic_Player_153,1367.05,428.23,35.24,63,114,979,302,1,7,32,1,0,4.93,8.81,26.63,896,27,70,201,0,31,9.81,International,Australia,Fast-All Rounder,Capped
Synthetic_Player_154,1759.06,139.71,23.18,110,121,1351,454,0,4,156,10,0,5.42,7.98,25.68,3950,150,296,1101,6,33,3.29,International,West Indies,Fast-All Rounder,Capped
Synthetic_Player_155,1214.53,150.77,14.70,92,102,1175,384,0,3,170,8,0,5.19,7.90,24.86,4353,162,293,1180,8,34,6.25,International,West Indies,Fast-All Rounder,Capped
Synthetic_Player_156,2535.02,190.36,28.34,161,144,1722,583,0,4,256,29,2,6.31,8.31,39.28,5668,219,465,1584,9,31,4.85,International,Australia,Fast-All Rounder,Capped
Synthetic_Player_157,1050.53,150.01,24.98,57,74,761,270,0,5,43,2,0,5.65,8.77,28.55,1126,46,95,260,1,31,2.78,International,India,Fast-All Rounder,Capped
Synthetic_Player_158,542.63,145.32,13.44,20,32,425,142,0,2,129,9,0,5.08,8.53,27.25,3742,141,304,943,3,36,4.03,International,India,Fast-All Rounder,Capped
Synthetic_Player_159,408.69,119.99,17.42,19,27,330,122,0,1,40,2,0,4.26,8.77,35.53,1483,69,117,331,1,30,1.30,International,India,Fast-All Rounder,Uncapped
Synthetic_Player_160,914.08,84.97,32.99,37,65,744,217,0,4,12,1,0,8.30,9.53,19.57,187,7,13,18,0,29,0.72,International,USA,Fast-All Rounder,Uncapped
Synthetic_Player_161,1653.19,120.28,23.30,71,141,1348,434,0,8,72,3,0,4.47,8.27,28.84,2166,77,156,463,1,31,0.29,International,South Africa,Fast-All Rounder,Capped
Synthetic_Player_162,1646.86,141.96,25.14,64,134,1253,425,0,8,65,3,0,4.54,7.91,29.63,1861,79,124,466,1,33,0.90,International,New Zealand,Spin-All Rounder,Capped
Synthetic_Player_163,1626.52,129.18,25.75,71,128,1251,419,0,8,63,2,0,4.73,8.33,28.67,1871,67,139,415,1,31,0.07,International,South Africa,Fast-All Rounder,Capped
Synthetic_Player_164,2249.54,153.98,25.33,121,165,1512,493,0,9,116,8,0,5.51,9.19,28.34,3148,109,268,616,0,33,1.58,International,New Zealand,Fast-All Rounder,Capped
Synthetic_Player_165,102.12,127.98,11.52,1,18,109,49,0,0,127,12,0,5.05,7.82,23.84,3316,120,253,961,4,32,8.56,International,Afghanistan,Spin-All Rounder,Uncapped
Synthetic_Player_166,1511.46,606.74,28.03,76,126,1164,342,0,6,78,8,0,6.19,8.59,22.53,1825,53,173,520,1,28,1.67,International,South Africa,Fast-All Rounder,Capped
Synthetic_Player_167,1299.41,322.43,37.73,72,118,893,339,2,6,19,1,0,3.14,9.26,39.17,606,25,41,152,0,29,23.06,International,Australia,Fast-All Rounder,Capped
Synthetic_Player_168,2061.42,154.21,31.52,88,176,1465,465,1,15,20,1,0,4.34,9.59,38.18,645,22,45,157,0,34,1.97,International,New Zealand,Fast-All Rounder,Capped
Synthetic_Player_169,678.70,214.98,32.14,24,53,548,164,0,4,23,1,0,6.62,9.98,26.87,604,20,42,111,0,28,0.38,International,USA,Fast-All Rounder,Capped
Synthetic_Player_170,1199.98,146.64,15.88,64,118,1261,405,0,5,123,8,0,4.58,7.60,25.62,3192,120,198,817,5,30,1.09,International,England,Spin-All Rounder,Capped
Synthetic_Player_171,1542.77,148.89,27.29,57,123,1126,370,0,8,40,1,0,4.32,8.20,34.51,1203,53,86,285,0,33,1.54,International,New Zealand,Spin-All Rounder,Capped
Synthetic_Player_172,1094.08,134.58,25.94,55,74,819,289,0,5,55,3,0,5.28,8.42,27.09,1494,52,117,363,1,30,0.12,International,Afghanistan,Fast-All Rounder,Capped
Synthetic_Player_173,2810.69,154.82,35.26,101,241,2003,594,1,21,24,4,0,4.46,8.17,27.27,665,27,52,209,0,33,0.87,International,New Zealand,Spin-All Rounder,Capped
Synthetic_Player_174,1392.49,148.66,22.31,53,118,1071,371,0,3,63,4,0,4.13,7.86,31.64,1889,72,129,456,1,33,2.65,Domestic,India,Spin-All Rounder,Capped
Synthetic_Player_175,1012.98,130.64,29.07,48,65,808,276,0,5,-3,3,0,7.19,7.41,17.45,-218,10,23,32,-1,25,0.07,International,USA,Spin All Rounder,Uncapped
Synthetic_Player_176,2168.12,179.32,24.70,116,169,1565,503,0,7,94,6,1,5.02,8.83,28.12,2597,91,201,575,1,31,7.08,International,India,Fast-All Rounder,Capped
Synthetic_Player_177,1874.92,137.11,23.90,117,130,1468,484,0,6,159,13,0,5.71,8.19,26.45,3978,145,307,1041,5,35,0.19,International,West Indies,Fast-All Rounder,Capped
Synthetic_Player_178,1393.18,160.11,24.89,51,126,1046,323,0,6,39,2,0,3.74,8.87,38.83,1331,51,104,284,1,33,2.36,International,England,Spin-All Rounder,Capped
Synthetic_Player_179,408.88,142.72,19.56,19,30,315,118,0,2,35,2,0,4.91,7.66,25.37,913,35,79,250,1,26,0.61,International,West Indies,Fast-All Rounder,Capped
Synthetic_Player_180,773.78,139.27,19.88,31,70,673,228,0,3,44,2,0,3.88,8.53,35.26,1502,62,117,355,1,31,0.29,International,South Africa,Fast-All Rounder,Capped
Synthetic_Player_181,421.25,144.43,24.86,17,30,309,108,0,2,19,0,0,3.87,9.89,43.70,886,42,53,195,1,29,0.89,International,Sri Lanka,Fast-All Rounder,Capped
Synthetic_Player_182,3054.14,113.95,24.40,159,222,2280,690,0,12,157,11,0,5.11,8.43,27.92,4126,126,284,856,2,38,1.18,International,New Zealand,Fast-All Rounder,Capped
Synthetic_Player_183,-165.84,90.99,20.41,2,13,249,70,0,-2,46,7,1,8.29,8.70,18.20,696,23,49,123,0,29,1.33,International,New Zealand,Fast-All Rounder,Capped
Synthetic_Player_184,1882.73,122.45,37.61,87,148,1359,372,0,12,21,1,0,5.36,8.99,27.85,496,23,46,92,0,35,2.56,International,New Zealand,Fast-All Rounder,Capped
Synthetic_Player_185,2825.87,155.69,23.68,139,214,2076,705,0,13,104,5,0,4.02,7.38,27.90,2859,101,151,843,4,39,1.48,International,Australia,Spin-All Rounder,Capped
Synthetic_Player_186,1628.46,143.47,19.51,72,141,1352,464,0,4,136,8,0,3.97,7.27,29.49,4103,152,246,1104,2,36,7.83,International,India,Spin-All Rounder,Uncapped
Synthetic_Player_187,1735.76,126.40,27.67,93,148,1104,427,1,10,34,1,0,4.69,9.87,35.68,1166,48,91,242,0,34,4.22,International,Australia,Fast-All Rounder,Capped
Synthetic_Player_188,1233.75,140.67,29.57,62,86,911,290,0,6,39,2,0,5.53,8.69,28.51,1009,36,78,217,0,33,1.42,International,Afghanistan,Fast-All Rounder,Capped
Synthetic_Player_189,474.57,258.91,26.74,22,39,368,115,0,2,45,4,0,5.77,9.40,30.30,1266,38,108,238,0,28,0.02,International,New Zealand,Fast-All Rounder,Capped
Synthetic_Player_190,3261.90,148.95,33.78,180,245,2266,742,2,22,30,1,0,4.81,8.71,29.99,875,41,56,205,0,30,1.98,International,New Zealand,Spin-All Rounder,Capped
Synthetic_Player_191,685.67,611.77,28.34,23,58,526,164,0,4,47,4,0,7.66,9.61,23.06,1223,40,122,235,0,27,1.60,International,New Zealand,Fast-All Rounder,Capped
Synthetic_Player_192,481.62,126.08,24.57,24,38,377,135,0,2,19,2,0,6.50,8.06,21.64,454,13,34,104,0,27,0.93,International,Netherlands,Fast-All Rounder,Capped
Synthetic_Player_193,476.46,121.19,19.92,21,37,401,149,0,1,35,2,0,4.22,8.70,35.11,1283,52,97,293,1,29,0.73,International,England,Fast-All Rounder,Capped
Synthetic_Player_194,430.64,125.70,13.58,13,41,437,148,0,1,98,7,0,5.04,8.44,24.14,2643,98,227,677,3,30,1.79,International,India,Fast-All Rounder,Uncapped
Synthetic_Player_195,1506.49,141.99,22.15,52,110,1101,391,0,2,75,6,0,3.87,7.77,32.45,2445,101,171,656,1,33,6.01,Domestic,India,Spin-All Rounder,Uncapped
Synthetic_Player_196,1996.16,152.46,30.57,87,163,1407,451,0,12,34,1,0,4.86,9.12,33.14,1072,42,81,223,0,35,1.85,International,New Zealand,Fast-All Rounder,Capped
Synthetic_Player_197,1157.05,132.44,28.99,53,76,843,268,0,6,46,2,0,5.37,8.95,29.46,1290,44,109,279,0,30,0.30,International,Afghanistan,Fast-All Rounder,Capped
Synthetic_Player_198,2132.15,139.46,27.95,102,163,1454,504,0,6,65,6,0,4.40,8.62,35.01,2142,97,182,558,1,33,10.01,International,India,Spin-All Rounder,Capped
Synthetic_Player_199,1813.86,150.33,31.72,91,159,1350,424,1,13,26,2,0,5.63,8.39,23.16,697,31,52,165,1,35,3.62,International,Australia,Spin-All Rounder,Capped
Synthetic_Player_200,1665.90,162.21,24.54,67,139,1218,415,0,6,64,4,0,4.31,8.02,31.93,1919,75,138,473,1,34,3.42,International,India,Spin-All Rounder,Capped
Synthetic_Player_201,1340.94,142.46,24.77,54,104,954,338,0,6,50,2,0,4.82,8.13,29.29,1419,60,101,366,1,34,1.47,International,New Zealand,Spin-All Rounder,Capped
Synthetic_Player_202,373.22,165.09,6.60,32,41,684,205,0,0,179,11,0,4.41,7.56,30.90,5275,184,279,1340,4,38,8.52,International,India,Spin-All Rounder,Capped
Synthetic_Player_203,775.06,138.98,29.81,38,57,598,186,0,4,27,1,0,5.73,8.92,28.52,722,24,52,165,0,30,1.81,International,England,Fast-All Rounder,Capped
Synthetic_Player_204,1106.90,137.13,20.32,63,84,738,234,0,3,101,11,1,5.72,9.24,26.92,2740,96,242,565,1,31,1.51,International,England,Fast-All Rounder,Capped
Synthetic_Player_205,1493.42,171.55,26.12,81,106,1030,358,0,6,63,3,0,5.50,8.91,27.88,1690,60,143,368,0,30,2.79,International,Afghanistan,Fast-All Rounder,Capped
Synthetic_Player_206,293.37,135.13,14.20,15,20,206,76,0,0,125,11,0,4.91,7.16,21.11,3131,123,205,996,4,27,13.01,International,Afghanistan,Spin-All Rounder,Capped
Synthetic_Player_207,1820.91,170.75,24.80,74,160,1297,482,0,5,81,7,0,4.15,7.50,29.64,2352,92,163,653,1,34,3.78,Domestic,India,Spin-All Rounder,Uncapped
Synthetic_Player_208,1778.01,143.60,21.40,76,162,1434,484,0,5,125,9,0,4.27,7.25,27.50,3463,126,212,906,2,34,5.45,International,India,Spin-All Rounder,Capped
Synthetic_Player_209,961.99,226.47,25.13,51,78,741,213,0,3,81,8,1,5.86,9.36,27.23,2149,69,177,403,0,28,2.20,International,England,Fast-All Rounder,Capped
Synthetic_Player_210,1925.17,124.67,31.84,88,147,1384,420,0,11,43,1,0,5.36,8.32,26.53,1200,44,92,280,0,33,0.91,International,New Zealand,Fast-All Rounder,Capped
Synthetic_Player_211,1030.69,134.51,24.48,48,75,756,305,0,4,69,5,0,5.13,7.54,21.85,1537,65,129,488,2,26,1.55,International,South Africa,Fast-All Rounder,Capped
Synthetic_Player_212,861.88,143.40,28.16,44,64,654,221,0,3,15,2,0,7.12,8.16,20.33,344,12,16,66,0,29,1.10,International,South Africa,Spin-All Rounder,Capped
Synthetic_Player_213,1603.59,157.53,23.07,62,119,1178,353,0,3,115,12,0,4.89,8.84,29.30,3447,140,293,813,1,33,8.05,International,India,Fast-All Rounder,Capped
Synthetic_Player_214,2975.68,139.29,23.14,160,223,2108,745,0,10,125,7,0,3.65,7.40,29.62,3586,131,214,1024,4,38,8.32,International,Australia,Fast-All Rounder,Capped
Synthetic_Player_215,2570.54,168.24,27.12,133,209,1771,579,0,15,45,1,0,4.55,8.45,30.19,1408,61,84,298,1,35,2.33,International,Australia,Spin-All Rounder,Capped
Synthetic_Player_216,689.21,185.97,34.62,34,55,482,143,0,4,20,1,0,4.86,10.59,42.33,443,19,36,122,0,24,10.90,International,India,Fast-All Rounder,Capped
Synthetic_Player_217,942.43,149.63,24.88,51,69,689,247,0,5,36,2,0,5.54,8.54,28.13,926,38,71,216,1,32,1.72,International,Sri Lanka,Fast-All Rounder,Capped
Synthetic_Player_218,500.65,128.17,20.75,29,34,359,140,0,1,57,3,1,5.93,7.71,21.52,1240,47,97,359,2,28,0.58,International,West Indies,Spin-All Rounder,Capped
Synthetic_Player_219,1242.22,161.09,25.02,54,106,876,254,0,3,122,14,2,6.29,8.43,23.71,2777,87,219,624,3,29,2.72,International,England,Fast-All Rounder,Capped
Synthetic_Player_220,3000.12,132.89,26.39,155,240,2019,701,1,14,65,5,1,4.05,8.82,32.64,2384,99,175,544,1,37,13.64,International,Australia,Fast-All Rounder,Capped
Synthetic_Player_221,1583.55,457.67,31.24,71,128,1160,373,1,8,17,1,0,6.10,8.44,19.62,517,9,42,147,1,33,3.08,International,Australia,Fast-All Rounder,Capped
Synthetic_Player_222,1272.53,136.43,24.60,72,91,900,313,0,4,91,5,0,5.45,7.84,22.60,2181,79,183,661,3,26,3.69,International,South Africa,Fast-All Rounder,Capped
Synthetic_Player_223,674.32,153.12,16.61,36,41,464,171,0,2,79,5,0,5.08,9.27,30.37,2588,98,241,583,2,31,0.68,International,India,Fast-All Rounder,Capped
Synthetic_Player_224,435.91,141.40,19.90,23,32,351,123,0,1,50,4,0,5.34,8.47,26.18,1311,48,108,319,1,26,0.58,International,New Zealand,Fast-All Rounder,Capped
Synthetic_Player_225,854.49,136.10,23.43,48,57,609,225,0,3,68,5,0,5.65,8.18,21.54,1623,61,147,497,2,25,2.16,International,South Africa,Fast-All Rounder,Capped
Synthetic_Player_226,3400.78,107.16,29.21,98,311,2547,856,1,25,102,8,1,3.93,6.43,23.56,2587,90,143,1169,7,41,0.54,International,West Indies,Spin-All Rounder,Capped
Synthetic_Player_227,431.84,145.47,11.49,13,6,275,98,0,0,118,5,1,5.06,8.89,28.99,3783,152,298,906,3,38,3.57,International,India,Fast-All Rounder,Uncapped
Synthetic_Player_228,536.87,105.09,18.97,19,38,461,161,0,1,63,3,0,4.26,7.48,26.92,1564,68,93,455,2,31,1.06,International,Bangladesh,Spin-All Rounder,Capped
Synthetic_Player_229,3.09,109.37,10.55,6,15,89,5,0,-1,40,2,1,5.92,7.35,20.77,1038,51,46,308,1,32,1.03,International,India,Spin-All Rounder,Uncapped
Synthetic_Player_230,724.10,118.12,16.97,33,51,626,205,0,1,100,6,0,4.56,7.54,23.64,2587,101,157,739,3,29,4.51,International,Afghanistan,Spin-All Rounder,Capped
Synthetic_Player_231,2059.56,164.27,21.86,107,162,1841,579,0,7,158,8,0,4.74,7.24,26.38,4119,143,249,1151,7,37,2.41,International,Afghanistan,Fast-All Rounder,Capped
Synthetic_Player_232,1868.29,162.06,23.31,86,156,1385,505,0,8,101,5,0,4.23,7.25,27.11,2760,115,171,818,2,33,3.70,International,West Indies,Spin-All Rounder,Capped
Synthetic_Player_233,1579.87,183.79,30.30,77,135,1126,426,1,13,24,1,0,4.42,9.05,33.80,660,33,57,176,1,32,4.02,International,New Zealand,Spin-All Rounder,Capped
Synthetic_Player_234,485.20,142.61,20.69,26,39,388,148,0,1,44,3,0,5.12,8.26,28.41,1225,39,101,306,1,28,0.37,International,South Africa,Fast-All Rounder,Capped
Synthetic_Player_235,1450.38,151.82,24.32,104,81,949,341,0,3,184,21,0,6.11,8.45,29.59,4229,170,378,1158,5,31,3.16,International,Australia,Fast-All Rounder,Capped
Synthetic_Player_236,3126.83,201.69,29.90,182,234,2206,763,2,22,50,4,0,4.61,8.28,24.06,1577,60,127,347,0,30,5.30,International,Australia,Spin-All Rounder,Capped
Synthetic_Player_237,2299.78,196.42,34.19,112,187,1630,566,2,19,29,3,0,4.31,8.81,33.74,746,31,60,213,0,30,5.37,International,New Zealand,Spin-All Rounder,Capped
Synthetic_Player_238,1187.92,140.74,22.94,77,79,855,299,0,4,120,10,0,5.90,8.13,21.25,2760,107,248,848,5,27,3.37,International,Afghanistan,Fast-All Rounder,Capped
Synthetic_Player_239,1818.09,421.22,34.18,85,162,1272,410,1,11,34,1,0,4.84,10.15,29.95,887,32,81,203,0,31,1.15,International,New Zealand,Fast-All Rounder,Capped
Synthetic_Player_240,1900.53,154.79,21.26,111,150,1277,472,0,5,163,8,0,4.30,7.08,27.81,4481,179,294,1394,4,34,14.04,International,West Indies,Spin-All Rounder,Capped
Synthetic_Player_241,706.07,100.09,26.67,34,50,580,196,0,3,41,3,0,6.32,8.33,22.84,996,33,76,253,1,26,0.34,International,Netherlands,Fast-All Rounder,Capped
Synthetic_Player_242,556.76,118.58,19.89,27,47,498,167,0,0,26,3,0,3.59,9.02,40.90,982,47,56,197,0,30,2.70,Domestic,India,Spin-All Rounder,Uncapped
Synthetic_Player_243,1879.63,131.04,19.45,133,137,1212,477,1,4,212,10,0,4.54,7.04,29.71,5576,223,378,1766,7,36,18.26,International,West Indies,Spin-All Rounder,Capped
Synthetic_Player_244,451.24,123.70,18.92,26,31,360,136,0,1,61,3,1,5.50,7.78,22.15,1389,54,104,397,2,28,0.77,International,West Indies,Fast-All Rounder,Capped
Synthetic_Player_245,747.87,136.84,18.75,35,50,542,204,0,2,67,4,0,4.86,8.31,26.40,1840,71,158,464,1,28,0.76,International,South Africa,Fast-All Rounder,Capped
Synthetic_Player_246,450.31,154.89,19.84,26,32,324,123,0,2,41,3,0,5.53,7.61,20.96,897,33,82,270,1,24,0.30,International,West Indies,Fast-All Rounder,Capped
Synthetic_Player_247,356.19,96.28,24.12,24,28,280,103,0,1,1,0,0,7.33,9.21,23.25,101,7,8,30,0,25,2.84,International,England,Fast-All Rounder,Capped
Synthetic_Player_248,693.89,118.39,21.30,26,57,518,185,0,3,11,1,0,3.26,8.23,41.07,442,20,28,124,0,28,1.24,International,Sri Lanka,Spin-All Rounder,Capped
Synthetic_Player_249,1041.56,150.19,20.05,62,68,726,252,0,3,136,13,0,5.23,7.90,25.79,3319,129,261,958,3,30,7.22,International,Afghanistan,Fast-All Rounder,Capped
Synthetic_Player_250,787.59,149.00,16.69,38,42,574,204,0,2,91,5,0,4.97,8.53,27.04,2742,104,222,655,2,32,1.32,International,India,Fast-All Rounder,Capped
