Player,Category,Country,Role,Runs Scored,Batting Strike Rate,Batting Average,No of Sixes,No of Fours,Balls Faced,Total career dot balls played,No of Centuries Scored,No of Half Centuries Scored,Wickets Taken,3 Wicket Hauls,5 Wicket Hauls,Bowling Strike Rate,Bowling Economy,Bowling Average,Runs Conceded,Sixes Conceded,Fours Conceded,Dot Balls Bowled,Maidens Bowled,Age of the Player,Capped/Uncapped,Last Auction Price Sold (in Crs),5 Wicket hauls,No of Catches,No of Stumpings,No of Run Outs
Synthetic_Player_229,International,India,Spin-All Rounder,3.09,109.37,10.55,6,15,89,5,0,-1,40,2,1,5.92,7.35,20.77,1038,51,46,308,1,32,Uncapped,1.03,,,,
Synthetic_Player_230,International,Afghanistan,Spin-All Rounder,724.1,118.12,16.97,33,51,626,205,0,1,100,6,0,4.56,7.54,23.64,2587,101,157,739,3,29,Capped,4.51,,,,
Synthetic_Player_231,International,Afghanistan,Fast-All Rounder,2059.56,164.27,21.86,107,162,1841,579,0,7,158,8,0,4.74,7.24,26.38,4119,143,249,1151,7,37,Capped,2.41,,,,
Synthetic_Player_232,International,West Indies,Spin-All Rounder,1868.29,162.06,23.31,86,156,1385,505,0,8,101,5,0,4.23,7.25,27.11,2760,115,171,818,2,33,Capped,3.7,,,,
Synthetic_Player_233,International,New Zealand,Spin-All Rounder,1579.87,183.79,30.3,77,135,1126,426,1,13,24,1,0,4.42,9.05,33.8,660,33,57,176,1,32,Capped,4.02,,,,
Synthetic_Player_234,International,South Africa,Fast-All Rounder,485.2,142.61,20.69,26,39,388,148,0,1,44,3,0,5.12,8.26,28.41,1225,39,101,306,1,28,Capped,0.37,,,,
Synthetic_Player_235,International,Australia,Fast-All Rounder,1450.38,151.82,24.32,104,81,949,341,0,3,184,21,0,6.11,8.45,29.59,4229,170,378,1158,5,31,Capped,3.16,,,,
Synthetic_Player_236,International,Australia,Spin-All Rounder,3126.83,201.69,29.9,182,234,2206,763,2,22,50,4,0,4.61,8.28,24.06,1577,60,127,347,0,30,Capped,5.3,,,,
Synthetic_Player_237,International,New Zealand,Spin-All Rounder,2299.78,196.42,34.19,112,187,1630,566,2,19,29,3,0,4.31,8.81,33.74,746,31,60,213,0,30,Capped,5.37,,,,
Synthetic_Player_238,International,Afghanistan,Fast-All Rounder,1187.92,140.74,22.94,77,79,855,299,0,4,120,10,0,5.9,8.13,21.25,2760,107,248,848,5,27,Capped,3.37,,,,
Synthetic_Player_239,International,New Zealand,Fast-All Rounder,1818.09,421.22,34.18,85,162,1272,410,1,11,34,1,0,4.84,10.15,29.95,887,32,81,203,0,31,Capped,1.15,,,,
Synthetic_Player_240,International,West Indies,Spin-All Rounder,1900.53,154.79,21.26,111,150,1277,472,0,5,163,8,0,4.3,7.08,27.81,4481,179,294,1394,4,34,Capped,14.04,,,,
Synthetic_Player_241,International,Netherlands,Fast-All Rounder,706.07,100.09,26.67,34,50,580,196,0,3,41,3,0,6.32,8.33,22.84,996,33,76,253,1,26,Capped,0.34,,,,
Synthetic_Player_242,Domestic,India,Spin-All Rounder,556.76,118.58,19.89,27,47,498,167,0,0,26,3,0,3.59,9.02,40.9,982,47,56,197,0,30,Uncapped,2.7,,,,
Synthetic_Player_243,International,West Indies,Spin-All Rounder,1879.63,131.04,19.45,133,137,1212,477,1,4,212,10,0,4.54,7.04,29.71,5576,223,378,1766,7,36,Capped,18.26,,,,
Synthetic_Player_244,International,West Indies,Fast-All Rounder,451.24,123.7,18.92,26,31,360,136,0,1,61,3,1,5.5,7.78,22.15,1389,54,104,397,2,28,Capped,0.77,,,,
Synthetic_Player_245,International,South Africa,Fast-All Rounder,747.87,136.84,18.75,35,50,542,204,0,2,67,4,0,4.86,8.31,26.4,1840,71,158,464,1,28,Capped,0.76,,,,
Synthetic_Player_246,International,West Indies,Fast-All Rounder,450.31,154.89,19.84,26,32,324,123,0,2,41,3,0,5.53,7.61,20.96,897,33,82,270,1,24,Capped,0.3,,,,
Synthetic_Player_247,International,England,Fast-All Rounder,356.19,96.28,24.12,24,28,280,103,0,1,1,0,0,7.33,9.21,23.25,101,7,8,30,0,25,Capped,2.84,,,,
Synthetic_Player_248,International,Sri Lanka,Spin-All Rounder,693.89,118.39,21.3,26,57,518,185,0,3,11,1,0,3.26,8.23,41.07,442,20,28,124,0,28,Capped,1.24,,,,
Synthetic_Player_249,International,Afghanistan,Fast-All Rounder,1041.56,150.19,20.05,62,68,726,252,0,3,136,13,0,5.23,7.9,25.79,3319,129,261,958,3,30,Capped,7.22,,,,
Synthetic_Player_250,International,India,Fast-All Rounder,787.59,149,16.69,38,42,574,204,0,2,91,5,0,4.97,8.53,27.04,2742,104,222,655,2,32,Capped,1.32,,,,
Diff_Player_251,International,India,Spin-All Rounder,663,116.51,12.5,35,41,461,197,0,1,86,5,0,3.76,7.33,31.23,2567,94,95,568,2,31,Capped,2.21,,,,
Diff_Player_252,International,Ireland,Spin-All Rounder,1,101.85,8.02,0,0,1,0,0,0,2,1,0,6.62,6.13,16.65,36,0,1,14,0,27,Capped,0,,,,
Diff_Player_253,International,Netherlands,Fast-All Rounder,284,140.43,18.48,19,32,395,106,0,2,50,3,0,5.31,7.33,28.53,1356,45,71,373,2,34,Capped,0.39,,,,
Diff_Player_254,International,India,Spin-All Rounder,2383,133.18,24.52,65,124,1266,579,0,4,120,7,0,4.72,7.28,31.5,2666,178,273,548,2,34,Capped,5.27,,,,
Diff_Player_255,International,India,Spin-All Rounder,1308,153.2,27.87,73,82,1053,315,0,3,41,2,0,4.04,8.09,38.13,2175,100,156,536,1,30,Capped,23,,,,
Diff_Player_256,International,India,Spin-All Rounder,258,106.52,21.71,13,15,219,112,0,1,0,0,0,1.17,11.25,118.95,151,15,4,20,0,20,Capped,5.35,,,,
Diff_Player_257,International,Ireland,Spin-All Rounder,139,131.98,14.09,3,8,72,41,0,0,11,1,0,4.11,7.23,30.04,337,20,17,72,0,27,Capped,0,,,,
Diff_Player_258,International,West Indies,Fast-All Rounder,105,134.63,12.59,4,5,38,22,0,0,13,1,0,4.76,8.5,28.04,237,20,38,54,0,25,Capped,0,,,,
Diff_Player_259,International,West Indies,Spin-All Rounder,107,127.28,11.92,7,4,33,33,0,0,30,2,0,5.5,7.34,20.13,1346,41,77,368,1,29,Capped,0.09,,,,
Diff_Player_260,International,England,Fast-All Rounder,598,138.79,22.04,37,33,247,217,0,0,172,45,10,7.84,9.29,21.83,6338,113,204,646,2,31,Capped,0.59,,,,
Diff_Player_261,International,West Indies,Fast-All Rounder,1144,148.96,18.43,96,99,841,353,0,1,67,5,0,6.04,7.54,26.35,3048,84,210,761,5,28,Capped,1.71,,,,
Diff_Player_262,International,India,Fast-All Rounder,86,117.24,15.16,6,4,63,51,0,0,14,1,0,3.68,8.39,40.79,456,45,29,60,0,32,Capped,0,,,,
Diff_Player_263,International,West Indies,Fast-All Rounder,216,144.25,13.42,16,13,90,46,0,1,58,6,0,6.56,8.36,21.64,1115,31,101,194,1,27,Capped,0.84,,,,
Diff_Player_264,International,Australia,Fast-All Rounder,2428,184.73,26.82,186,312,1828,1178,0,11,131,6,0,5.29,8.44,26.07,2413,91,161,327,1,34,Capped,1.31,,,,
Diff_Player_265,International,West Indies,Fast-All Rounder,347,120.75,24.6,18,39,424,186,0,2,7,1,0,3.08,9.61,51.7,446,25,28,68,0,24,Capped,3.85,,,,
Diff_Player_266,International,West Indies,Fast-All Rounder,35,122.3,5.73,2,1,31,19,0,0,35,1,0,4.37,6.67,21.03,1445,22,65,260,2,34,Capped,0,,,,
Diff_Player_267,Domestic,Ireland,Fast-All Rounder,89,139.31,13.51,2,8,46,32,0,0,38,1,0,5.77,7.5,21.32,1353,36,63,231,1,28,Capped,0,,,,
Diff_Player_268,International,West Indies,Fast-All Rounder,148,128.3,16.34,7,6,16,38,0,0,86,5,5,6.46,7.36,20.38,1805,49,89,562,3,33,Capped,0.01,,,,
Diff_Player_269,International,West Indies,Fast-All Rounder,260,125.11,20.38,12,31,161,106,0,1,17,1,0,4.64,8.42,30.36,419,19,13,71,0,27,Capped,0.13,,,,
Diff_Player_270,International,India,Spin-All Rounder,221,113.91,7.28,10,4,275,63,0,0,66,5,0,3.9,6.88,24.23,2993,165,216,868,2,38,Uncapped,4.34,,,,
Diff_Player_271,International,Sri Lanka,Spin-All Rounder,29,123.86,16.41,1,1,33,10,0,0,0,0,0,4.79,7.17,27.08,50,1,1,12,0,26,Capped,0,,,,
Diff_Player_272,International,West Indies,Fast-All Rounder,726,133.93,23.88,28,37,162,152,0,1,122,17,6,7.09,7.7,19.02,4471,141,250,600,8,32,Capped,1.02,,,,
Diff_Player_273,International,Ireland,Fast-All Rounder,125,114.49,16.74,4,7,98,68,0,0,3,0,0,3.22,7.8,46.14,349,16,16,77,0,29,Capped,0,,,,
Diff_Player_274,International,New Zealand,Fast-All Rounder,1521,116.22,20.41,57,43,1311,286,0,0,83,5,1,3.47,7.72,36.24,4134,103,131,1033,2,38,Capped,2.42,,,,
Diff_Player_275,Domestic,New Zealand,Fast-All Rounder,1370,126.73,26.87,90,88,685,298,1,5,7,1,0,3.45,9.21,52.68,728,18,80,73,0,32,Capped,6.81,,,,
Diff_Player_276,International,Sri Lanka,Fast-All Rounder,157,115.26,15.02,10,10,128,42,0,1,18,2,0,5.64,8.38,25.56,692,14,19,122,0,31,Capped,0.26,,,,
Diff_Player_277,International,India,Fast-All Rounder,792,111.39,27.48,25,79,532,245,0,5,2,0,0,2.46,10.23,82.5,175,15,11,36,0,25,Capped,5.49,,,,
Diff_Player_278,International,West Indies,Spin-All Rounder,15,115.75,8.51,1,0,0,3,0,0,429,57,548,11.23,5.99,8.63,6357,372,201,1552,23,43,Capped,0,,,,
Diff_Player_279,International,Ireland,Fast-All Rounder,134,120.82,15.31,5,7,70,31,0,1,7,1,0,3.81,8.57,38.25,282,12,19,57,0,27,Capped,0.06,,,,
Diff_Player_280,International,India,Spin-All Rounder,1561,120.82,21.67,104,132,1312,582,0,5,187,6,0,4.41,6.81,23.02,4381,251,220,1611,3,37,Capped,2.59,,,,
Diff_Player_281,International,South Africa,Spin-All Rounder,1106,125.86,23.2,71,81,848,388,0,9,0,0,0,1.69,7.93,76.3,45,4,2,13,0,23,Capped,0.91,,,,
Diff_Player_282,International,India,Fast-All Rounder,0,163.66,7.51,0,0,0,0,0,0,0,0,0,81.55,8.71,0.82,0,0,0,0,0,24,Capped,3.98,,,,
Diff_Player_283,International,South Africa,Fast-All Rounder,1462,133.02,19.66,72,137,1845,471,0,3,66,5,0,4.86,7.8,27.19,2423,125,179,664,3,34,Capped,2.05,,,,
Diff_Player_284,International,New Zealand,Spin-All Rounder,1716,119.97,23.36,54,94,1501,430,0,6,36,3,0,4.12,8.65,31.88,1191,41,73,181,0,33,Capped,0.64,,,,
Diff_Player_285,Domestic,India,Fast-All Rounder,467,111.25,42.96,43,60,752,261,3,8,0,0,0,4.47,14.88,56.78,3,0,0,0,0,27,Uncapped,23.18,,,,
Diff_Player_286,International,Netherlands,Spin All Rounder,10,109.97,14.24,0,0,12,5,0,0,0,0,0,4.9,5.74,21.72,17,0,0,4,0,25,Capped,0,,,,
Diff_Player_287,International,India,Spin-All Rounder,981,124.99,25.77,66,85,842,337,0,5,1,0,0,1.65,10.19,80.01,136,13,12,19,0,24,Capped,6.05,,,,
Diff_Player_288,Domestic,Netherlands,Spin All Rounder,6,91.28,12.02,0,0,7,2,0,0,0,0,0,5.04,6.06,27.97,75,1,1,17,0,29,Capped,0,,,,
Diff_Player_289,International,Ireland,Fast-All Rounder,23,118.06,12.61,0,1,10,4,0,0,7,0,0,7.97,7.7,18.73,161,3,8,27,0,29,Capped,0,,,,
Diff_Player_290,International,New Zealand,Spin-All Rounder,1590,148.45,34.21,134,248,1624,738,2,18,11,0,0,4.57,9.82,38.19,467,27,36,175,0,29,Capped,6.88,,,,
Diff_Player_291,International,India,Spin-All Rounder,1012,122.42,12.5,45,20,1022,424,0,1,78,4,1,2.71,7.31,33.66,4593,248,199,1223,1,39,Capped,22.67,,,,
Diff_Player_292,International,England,Spin-All Rounder,289,115.27,12.06,11,1,3,78,0,0,199,13,31,5.87,6.87,20.22,6704,289,281,1877,6,39,Capped,1.15,,,,
Diff_Player_293,International,Ireland,Fast-All Rounder,23,129.85,13.51,2,1,18,10,0,0,4,0,0,7.28,7.81,22.15,79,4,3,19,0,27,Capped,0.07,,,,
Diff_Player_294,International,West Indies,Fast-All Rounder,1107,119.55,22.37,52,107,536,268,0,4,65,12,1,6.18,8.04,23.75,2596,87,85,518,1,35,Capped,0.38,,,,
Diff_Player_295,Domestic,India,Spin-All Rounder,238,117.35,14.19,10,9,160,111,0,0,39,4,0,3.43,7.51,33.44,1527,80,87,506,0,33,Uncapped,1.78,,,,
Diff_Player_296,International,India,Spin-All Rounder,706,116.59,29.35,59,57,573,262,0,9,0,0,0,0.32,11.37,251.45,19,1,1,2,0,18,Capped,13.67,,,,
Diff_Player_297,International,India,Spin-All Rounder,543,112.97,23.75,26,19,304,159,0,1,0,0,0,0.21,11.88,225.9,76,4,2,5,0,16,Capped,37.99,,,,
Diff_Player_298,International,Netherlands,Fast-All Rounder,1231,150.75,23.14,53,91,724,389,0,1,92,17,1,6.36,9.09,21.59,3129,158,215,977,2,30,Capped,0.34,,,,
Diff_Player_299,International,India,Fast-All Rounder,241,143.56,37.16,13,23,181,75,1,1,3,0,0,3.73,10.98,54.76,138,6,11,28,0,23,Capped,22.39,,,,
Diff_Player_300,International,England,Fast-All Rounder,303,125.56,14.26,15,8,0,55,0,0,1078,280,1450,11.06,6.76,9.99,26183,502,514,5680,39,34,Capped,0.52,,,,
Diff_Player_301,International,Ireland,Fast-All Rounder,10,105.77,7.96,0,0,9,4,0,0,6,0,0,5.68,6.64,18.95,133,2,9,42,0,28,Capped,0,,,,
Diff_Player_302,International,India,Fast-All Rounder,809,155.12,26.29,51,63,443,288,0,2,15,1,0,3.13,9.33,40.64,941,37,42,206,1,23,Capped,2.7,,,,
Diff_Player_303,Domestic,India,Spin-All Rounder,1094,126.96,21.13,54,70,528,382,1,2,33,3,0,3.8,8.94,30.1,2403,75,91,390,1,30,Uncapped,6.75,,,,
Diff_Player_304,International,Ireland,Fast-All Rounder,14,141.45,16.24,1,0,20,6,0,0,0,0,0,10.62,7.71,12.75,8,0,0,1,0,31,Capped,0.37,,,,
Diff_Player_305,International,West Indies,Spin-All Rounder,441,123.27,12.94,24,25,188,118,0,2,132,8,0,4.47,7.02,28.67,3167,124,191,767,5,36,Capped,0.74,,,,
Diff_Player_306,International,India,Spin-All Rounder,784,124.98,28.2,66,112,784,256,0,7,1,0,0,1.86,9.22,84,80,6,10,36,0,23,Capped,6.43,,,,
Diff_Player_307,International,India,Spin-All Rounder,230,126.59,25.98,18,17,138,87,0,1,0,0,0,1.04,12.32,153.88,55,8,2,8,0,17,Capped,18.86,,,,
Diff_Player_308,International,West Indies,Spin-All Rounder,1507,144.6,20.4,101,115,1236,514,0,3,70,4,0,4.43,7.71,36.82,3315,205,145,566,3,32,Capped,6.22,,,,
Diff_Player_309,International,Ireland,Fast-All Rounder,7,150.62,8.51,1,0,2,1,0,0,4,2,0,17.1,7.55,6.99,20,0,1,3,0,26,Capped,0.54,,,,
Diff_Player_310,International,India,Fast-All Rounder,338,130.98,24.7,16,35,298,109,0,0,32,1,0,5.56,10.03,38.26,1746,58,138,262,2,25,Capped,0.42,,,,
Diff_Player_311,International,India,Fast-All Rounder,1162,136.66,20.01,61,117,1311,549,0,2,108,9,1,5.11,7.79,24.42,3406,119,230,600,5,31,Capped,2.35,,,,
Diff_Player_312,International,Netherlands,Spin-All Rounder,17,115.36,8.95,1,0,12,9,0,0,5,0,0,5.35,5.78,20.33,84,1,6,50,0,35,Capped,0,,,,
Diff_Player_313,International,Sri Lanka,Spin-All Rounder,53,109.9,11.42,4,0,56,32,0,0,13,0,1,3.08,6.9,37.24,689,26,24,128,0,32,Capped,0.01,,,,
Diff_Player_314,International,England,Fast-All Rounder,521,136.54,15.61,28,24,227,98,0,0,172,23,2,6.22,9.24,28.47,4901,165,543,937,3,33,Capped,0.88,,,,
Diff_Player_315,International,India,Fast-All Rounder,405,148.51,22.84,17,18,344,78,0,1,9,1,0,6.65,10.28,26.72,284,12,20,40,0,29,Capped,3.07,,,,
Diff_Player_316,Domestic,India,Fast-All Rounder,200,109.45,21.2,7,18,145,83,0,0,0,0,0,2.15,9.03,72.67,148,9,8,33,0,24,Capped,0.81,,,,
Diff_Player_317,Domestic,India,Spin-All Rounder,738,142.39,20.22,30,48,498,218,0,1,51,2,0,3.93,8.32,35.09,1369,75,65,348,0,32,Uncapped,2.58,,,,
Diff_Player_318,International,England,Fast-All Rounder,175,118.11,21.36,11,16,260,76,0,0,16,0,0,3.34,8.85,40.83,758,14,26,91,1,30,Capped,0.46,,,,
Diff_Player_319,International,India,Fast-All Rounder,218,119.6,12.58,15,14,132,97,0,0,34,6,0,5.1,8.18,25.82,1431,57,207,284,1,29,Capped,0,,,,
Diff_Player_320,International,Ireland,Spin All Rounder,46,111.74,19.13,2,2,48,16,0,0,0,0,0,2.92,7.89,48.82,37,1,2,13,0,25,Capped,0,,,,
Diff_Player_321,International,Australia,Spin-All Rounder,5592,143.47,34.7,370,428,3780,1495,17,49,13,1,0,5.03,7.76,21.13,424,20,24,205,0,32,Capped,5.21,,,,
Diff_Player_322,International,New Zealand,Spin-All Rounder,1517,111.88,21.98,94,136,1854,724,0,7,21,2,0,4.17,7.41,37.25,865,50,54,228,2,33,Capped,1.16,,,,
Diff_Player_323,International,Afghanistan,Fast-All Rounder,454,135.94,15.94,18,29,271,78,0,0,58,1,0,4.64,8.15,26.69,2759,88,146,512,2,26,Capped,2.73,,,,
Diff_Player_324,International,India,Fast-All Rounder,0,149.47,8.71,0,0,0,0,0,0,0,0,0,88.65,8.25,0.97,0,0,0,0,0,22,Capped,3.02,,,,
Diff_Player_325,International,South Africa,Fast-All Rounder,1299,234.39,29.13,42,96,1340,447,0,5,21,2,0,4.06,9.41,41.98,400,27,41,171,0,29,Capped,5.74,,,,
Diff_Player_326,International,West Indies,Spin-All Rounder,1,92.82,7.01,0,0,0,0,0,0,4,2,5,10.58,5.71,8.98,73,2,1,18,0,36,Capped,0,,,,
Diff_Player_327,International,South Africa,Fast-All Rounder,713,142.55,20.11,34,40,383,185,0,2,59,6,1,4.81,7.72,28.33,2288,124,80,1219,6,29,Capped,8.93,,,,
Diff_Player_328,International,Sri Lanka,Spin All Rounder,166,107.74,21.37,6,14,170,78,0,1,0,0,0,2.46,7.37,52.72,28,1,1,5,0,26,Capped,0,,,,
Diff_Player_329,International,Netherlands,Spin All Rounder,0,75.42,0,0,0,0,0,0,0,0,0,0,34.24,2.36,0.55,0,0,0,0,0,26,Capped,0,,,,
Diff_Player_330,International,West Indies,Spin-All Rounder,253,124.5,12.2,22,11,144,63,0,1,78,5,0,5.36,8.04,28.35,1784,77,109,364,2,27,Capped,0.32,,,,
Diff_Player_331,International,England,Spin-All Rounder,962,158.54,22.46,31,75,479,216,0,2,7,1,0,2.86,9.77,57.33,369,35,43,72,0,27,Capped,7.55,,,,
Diff_Player_332,International,India,Fast-All Rounder,171,120.87,11.59,7,9,117,43,0,0,40,3,0,4.52,7.53,28.75,998,48,87,394,0,30,Capped,0.98,,,,
Diff_Player_333,International,Ireland,Fast-All Rounder,25,141.92,15.23,2,0,22,9,0,0,2,1,0,17.45,8.76,8.42,21,0,1,1,0,27,Capped,1.15,,,,
Diff_Player_334,International,India,Fast-All Rounder,105,109.25,15.81,7,3,62,46,0,0,46,1,1,5.69,7.94,23.82,1665,35,59,302,1,31,Capped,0.3,,,,
Diff_Player_335,Domestic,India,Spin-All Rounder,197,102.88,15.07,8,6,92,52,0,0,37,4,0,4.23,7.18,26.59,1296,51,76,449,0,30,Uncapped,3.02,,,,
Diff_Player_336,International,England,Fast-All Rounder,830,129.24,27.12,58,87,621,297,0,2,71,5,1,7.04,9.15,23.54,2976,113,188,542,1,29,Capped,1.63,,,,
Diff_Player_337,International,England,Fast-All Rounder,285,121.16,15.82,15,17,130,96,0,0,36,2,1,3.93,8.61,34.33,1350,55,105,396,2,32,Capped,0,,,,
Diff_Player_338,International,West Indies,Fast-All Rounder,1565,150.9,21.15,62,77,677,235,0,3,177,18,2,6.43,8.46,26.72,4538,165,250,759,6,30,Capped,0.27,,,,
Diff_Player_339,International,Netherlands,Fast-All Rounder,662,161.3,24.1,45,83,516,195,0,3,54,0,0,4.32,9.76,45.57,1123,53,105,204,1,26,Capped,2.2,,,,
Diff_Player_340,International,India,Spin-All Rounder,566,118.74,26.13,38,43,415,161,0,3,1,0,0,2.46,10.61,77.81,138,10,9,41,0,24,Capped,4.07,,,,
Diff_Player_341,International,Ireland,Fast-All Rounder,10,114.79,9.18,1,0,8,5,0,0,6,1,0,5.63,6.69,20.91,108,3,6,38,0,28,Capped,0,,,,
Diff_Player_342,International,India,Spin-All Rounder,1550,141.24,22.27,112,53,1149,375,0,2,24,1,0,2.5,8.93,62.42,1222,73,85,428,0,28,Capped,48.96,,,,
Diff_Player_343,International,India,Fast-All Rounder,745,150.45,29.67,46,51,459,221,0,8,9,0,0,2.55,11.04,81.18,373,19,20,52,0,25,Capped,19.43,,,,
Diff_Player_344,International,India,Spin-All Rounder,473,99.73,13.44,20,32,522,160,0,0,46,3,0,3.45,7.77,41.25,3976,114,228,304,1,38,Capped,1.69,,,,
Diff_Player_345,International,India,Spin-All Rounder,207,123.88,14.83,6,13,151,105,0,0,19,1,0,3.58,8.23,37.98,504,19,27,111,0,29,Capped,0.49,,,,
Diff_Player_346,International,Afghanistan,Fast-All Rounder,918,157.81,16.68,55,48,891,193,0,1,128,15,0,4.78,8.24,27.98,4290,252,396,825,3,27,Capped,5.46,,,,
Diff_Player_347,International,India,Fast-All Rounder,228,128.2,21.01,13,19,123,91,0,1,20,2,0,5.1,7.62,27.32,564,20,60,180,1,29,Capped,0.56,,,,
Diff_Player_348,International,West Indies,Spin-All Rounder,81,115.83,11.48,10,3,14,30,0,0,42,3,1,6.28,7.4,18.2,645,29,37,179,1,30,Capped,0,,,,
Diff_Player_349,International,England,Fast-All Rounder,868,119.9,15.4,42,66,989,293,0,3,102,5,0,5.2,9.07,25.72,2700,136,246,809,1,29,Capped,0,,,,
Diff_Player_350,Domestic,India,Spin-All Rounder,650,110.13,20.33,28,61,366,197,0,0,28,2,0,3.17,8.13,43.15,710,52,76,362,1,31,Uncapped,0.68,,,,
Diff_Player_351,International,India,Spin-All Rounder,168,120.49,9.27,6,3,38,53,0,0,58,6,1,4.33,8.09,30.08,3551,93,215,716,1,37,Capped,1.03,,,,
Diff_Player_352,International,Netherlands,Spin-All Rounder,0,111.18,5.94,0,0,0,0,0,0,1,0,0,9.19,6.01,10.33,17,0,0,3,0,30,Capped,0,,,,
Diff_Player_353,International,India,Fast-All Rounder,620,114.91,24.31,49,35,462,133,0,2,0,0,0,0.99,11.84,133.91,165,13,12,29,0,20,Capped,31.44,,,,
Diff_Player_354,International,India,Spin-All Rounder,129,111.81,14.08,5,7,160,51,0,0,6,0,0,3.27,8.58,49.1,370,17,13,77,0,26,Capped,0.6,,,,
Diff_Player_355,International,New Zealand,Spin-All Rounder,1626,167.59,29.11,103,135,1167,465,0,12,17,0,0,3.84,9.57,47.14,477,29,25,100,0,31,Capped,5.01,,,,
Diff_Player_356,International,West Indies,Spin All Rounder,159,113.16,19.22,8,9,187,62,0,0,2,1,0,4.75,7.42,26.81,103,2,3,18,0,26,Capped,0.28,,,,
Diff_Player_357,International,Ireland,Fast-All Rounder,0,121.75,7.6,0,0,0,0,0,0,0,0,0,23.2,7.34,4.06,2,0,0,0,0,26,Capped,0.63,,,,
Diff_Player_358,International,USA,Fast-All Rounder,1170,118.02,31.81,51,88,1036,235,0,8,8,0,0,4.76,8.46,29.62,164,8,14,52,0,28,Capped,0.32,,,,
Diff_Player_359,International,West Indies,Spin-All Rounder,738,139.23,16.36,40,22,190,274,0,1,122,9,4,5.58,7.59,24.92,5991,170,277,672,6,36,Capped,1.72,,,,
Diff_Player_360,International,India,Fast-All Rounder,544,136.58,17.1,51,41,537,162,0,1,34,2,0,3.89,9.08,38,1776,77,114,451,0,34,Capped,2.86,,,,
Diff_Player_361,International,India,Spin-All Rounder,619,111.21,25.15,27,65,586,229,0,2,4,0,0,2.15,9.97,78.13,288,18,17,50,0,25,Capped,3.32,,,,
Diff_Player_362,International,Ireland,Fast-All Rounder,162,120.65,22.97,8,9,125,40,0,0,5,0,0,6.42,8.77,31.37,138,6,13,26,0,26,Capped,0.6,,,,
Diff_Player_363,International,South Africa,Fast-All Rounder,1339,140.92,36.87,85,149,1306,665,0,9,18,2,0,5.71,8.89,28.39,591,36,47,111,0,29,Capped,0,,,,
Diff_Player_364,International,Ireland,Fast-All Rounder,15,104.75,11.26,1,0,24,6,0,0,3,0,0,5.56,7.37,20.67,90,2,6,23,0,26,Capped,0,,,,
Diff_Player_365,International,Netherlands,Spin All Rounder,0,60.24,0,0,0,0,0,0,0,0,0,0,26.98,1.71,0.34,0,0,0,0,0,34,Capped,0,,,,
Diff_Player_366,International,Bangladesh,Fast-All Rounder,229,120.33,18.29,11,23,297,105,0,1,15,1,0,4.18,7.76,28.21,472,17,29,138,1,23,Capped,0,,,,
Diff_Player_367,International,West Indies,Spin-All Rounder,43,127.45,8.25,6,0,4,17,0,0,70,3,4,6.28,6.98,20.59,641,37,32,235,1,38,Capped,0.3,,,,
Diff_Player_368,International,Ireland,Spin All Rounder,3,98.78,7.74,0,0,1,0,0,0,0,0,0,5.06,5.42,18.43,20,0,0,4,0,25,Capped,0,,,,
Diff_Player_369,International,Netherlands,Spin All Rounder,0,55.07,0,0,0,0,0,0,0,0,0,0,67.02,1.18,0,0,0,0,0,0,31,Capped,0,,,,
Diff_Player_370,International,Netherlands,Fast-All Rounder,104,112.67,15.13,5,2,96,22,0,0,16,1,0,4.58,6.86,27.39,375,8,26,61,1,35,Capped,0,,,,
Diff_Player_371,International,India,Spin All Rounder,29,115.11,23.45,2,2,29,11,0,0,0,0,0,4.21,7.98,42.88,4,0,0,0,0,23,Capped,0,,,,
Diff_Player_372,Domestic,India,Spin-All Rounder,525,116.23,22.55,14,57,676,194,0,0,39,6,0,5.41,8.71,30.32,1969,89,151,342,2,28,Uncapped,1.17,,,,
Diff_Player_373,International,New Zealand,Spin-All Rounder,588,157.2,16.2,40,32,278,93,0,2,78,4,0,6.69,8.33,23.53,972,91,151,614,2,31,Capped,2.72,,,,
Diff_Player_374,International,Ireland,Fast-All Rounder,81,116.76,20.12,4,11,145,27,0,0,2,0,0,3.79,10.71,54.07,108,7,6,22,0,23,Capped,1.5,,,,
Diff_Player_375,International,West Indies,Spin-All Rounder,12,127.45,11.95,1,0,3,5,0,0,8,0,1,5.05,6.52,20.81,183,4,4,24,0,33,Capped,0,,,,
Diff_Player_376,International,West Indies,Fast-All Rounder,192,130.74,16,14,10,4,45,0,0,169,23,17,7.98,7.87,17.02,3472,142,187,934,5,32,Capped,0,,,,
Diff_Player_377,Domestic,India,Spin-All Rounder,573,122.04,28.58,31,82,516,239,0,9,0,0,0,1.31,13.26,130.19,46,7,4,5,0,22,Capped,15.62,,,,
Diff_Player_378,International,Ireland,Spin-All Rounder,0,107.48,3.84,0,0,0,0,0,0,0,0,0,17.2,6.01,5.65,3,0,0,0,0,30,Capped,0,,,,
Diff_Player_379,International,Ireland,Fast-All Rounder,440,135.16,17.55,18,41,348,145,0,2,15,0,0,3.27,8.44,44.49,470,31,32,177,0,28,Capped,0.51,,,,
Diff_Player_380,International,India,Spin-All Rounder,506,118.91,25.91,25,28,263,122,0,2,2,0,0,2.03,10.75,77.01,174,16,11,28,0,23,Capped,3.2,,,,
